"sim17_repl1_input","sim17_repl1_high","sim17_repl1_med","sim17_repl1_low","sim17_repl2_input","sim17_repl2_high","sim17_repl2_med","sim17_repl2_low"
33,26,26,51,91,105,81,170
4,6,2,1,21,17,27,10
0,0,0,0,26,30,32,45
27,33,32,18,7,6,7,7
0,0,0,0,15,17,18,26
3,7,3,2,23,14,28,7
12,12,14,3,0,0,0,2
1,0,1,3,7,8,9,6
1,2,1,0,4,2,4,2
5,6,5,7,6,8,4,11
24,25,27,56,8,6,9,17
40,51,28,40,5,6,1,7
0,1,1,2,39,48,27,14
1,0,0,0,1,1,1,0
2,5,6,6,7,7,13,5
14,23,19,9,0,0,0,0
3,4,1,6,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1
6,8,13,3,1,1,1,0
14,13,5,4,1,4,3,0
0,0,0,0,29,34,37,155
43,37,40,44,0,0,0,0
0,0,0,0,5,7,5,3
8,5,4,1,13,18,7,2
2,5,2,1,66,76,69,29
0,0,0,3,16,15,23,10
8,8,10,8,13,8,5,20
138,168,119,21,1,3,3,0
33,45,35,18,0,0,0,0
24,18,20,3,1,4,8,2
12,10,15,0,13,23,14,29
23,28,28,23,20,22,21,38
0,0,0,0,31,46,42,16
19,21,14,13,1,0,0,2
0,2,0,0,15,8,13,8
1,0,0,0,0,0,0,0
37,28,31,28,12,12,9,34
0,1,1,1,2,1,1,0
5,8,4,0,10,11,9,24
0,0,0,0,7,13,10,9
20,27,27,22,36,22,13,33
3,2,5,1,34,35,33,32
22,22,24,13,9,7,4,5
3,3,5,3,32,53,29,57
0,0,0,0,75,76,64,56
0,5,4,2,12,12,20,8
1,0,6,5,28,28,24,41
52,55,58,65,2,0,0,1
9,3,5,5,3,7,3,1
0,2,3,1,3,5,3,0
49,50,54,57,11,7,12,5
5,6,15,11,12,16,27,16
48,45,53,3,0,0,0,0
4,7,2,11,0,2,1,1
11,9,9,8,2,1,1,0
5,6,11,4,17,14,15,37
0,0,0,0,1,0,1,1
0,0,2,0,3,3,5,1
21,23,16,29,0,0,0,0
0,0,0,0,37,48,43,5
5,2,3,5,8,11,11,8
0,0,0,0,52,74,63,79
53,45,69,57,13,8,10,12
45,52,56,13,0,0,0,0
0,1,0,1,28,39,30,19
0,0,0,0,4,10,2,5
0,0,0,0,33,25,30,22
6,6,6,4,0,0,1,1
8,6,1,1,8,6,8,0
6,4,3,2,0,0,0,1
1,3,2,2,0,0,0,0
7,13,10,10,32,28,19,3
5,12,10,47,36,42,34,7
0,0,0,0,14,11,21,24
11,8,12,21,11,4,7,16
6,7,11,4,7,3,6,7
1,1,0,0,17,20,7,16
65,69,57,44,0,0,0,0
21,23,33,59,29,28,39,13
0,0,0,0,0,1,1,2
60,70,83,4,11,19,13,12
9,8,18,4,1,0,0,0
52,61,47,114,5,4,9,1
1,0,0,0,0,0,0,0
8,6,12,5,2,0,0,3
3,10,11,23,2,0,4,0
19,19,20,31,0,0,1,1
14,13,23,3,0,0,0,0
3,0,0,0,4,15,4,2
8,3,3,0,22,23,38,51
0,0,0,0,24,36,19,21
2,2,1,1,19,19,21,42
0,0,0,0,9,4,7,15
72,60,74,36,3,8,0,10
1,2,3,1,7,9,7,21
0,0,0,0,14,18,16,5
30,24,41,40,2,3,1,2
0,0,1,0,3,3,2,1
12,7,11,9,2,3,12,1
6,9,8,6,30,15,20,14
20,25,36,37,0,0,0,0
4,7,4,6,6,1,1,1
8,4,10,9,9,7,5,5
7,12,8,6,2,2,4,0
52,30,44,16,7,4,4,6
0,0,0,0,0,5,2,9
21,23,22,5,54,60,61,55
3,4,2,0,0,4,3,0
9,17,9,0,11,19,19,33
61,74,70,77,12,9,6,7
7,7,11,17,5,3,5,3
0,1,0,0,0,0,0,0
124,93,106,173,48,42,35,7
3,4,1,1,7,8,4,18
11,7,4,8,0,0,0,0
0,0,0,0,5,8,2,4
22,9,10,2,2,2,2,0
10,16,11,8,9,6,0,6
48,50,31,31,0,2,3,4
0,0,0,0,11,16,18,12
0,0,0,0,78,85,97,61
22,20,21,29,3,1,1,7
15,21,28,17,6,8,7,18
6,7,12,16,3,3,6,2
5,7,4,4,0,0,0,0
0,0,0,0,6,6,5,7
141,114,115,31,0,0,0,0
1,1,1,0,11,3,5,1
0,1,0,0,19,25,16,0
44,61,45,74,0,1,0,0
17,32,36,40,103,85,91,80
5,3,4,7,10,13,11,20
36,55,28,5,31,37,22,14
4,1,0,3,6,8,5,10
41,27,38,7,4,8,4,3
24,29,23,80,25,26,32,28
21,15,16,4,15,11,17,5
7,8,12,0,0,0,0,0
3,0,2,5,35,42,36,72
0,0,0,0,38,36,46,20
0,1,2,2,0,0,0,0
11,18,13,14,0,0,0,0
0,0,0,2,0,0,0,0
20,14,26,18,9,7,5,4
73,81,56,49,5,10,7,16
15,8,7,9,0,0,0,0
1,0,1,0,2,4,6,18
41,31,21,22,0,0,0,0
6,8,5,3,0,0,0,0
7,9,21,3,9,9,2,8
11,5,8,2,34,44,39,14
4,2,5,7,17,31,33,11
2,3,3,0,3,0,0,1
17,13,18,9,0,0,0,0
0,0,2,0,13,23,13,28
0,1,0,1,1,0,0,2
19,22,19,31,3,7,5,15
17,27,18,24,11,2,2,4
9,12,13,2,76,53,74,114
2,2,1,0,38,41,40,9
4,1,2,1,10,7,9,6
17,21,10,7,0,0,0,1
3,4,4,2,0,0,0,0
63,71,60,8,140,134,129,110
9,5,8,23,0,2,1,1
3,0,2,7,0,0,0,0
7,9,10,5,8,7,7,1
51,37,60,36,0,0,0,0
38,28,15,16,5,2,4,1
11,7,12,11,52,42,48,30
7,6,8,16,0,0,0,0
18,24,15,46,125,104,146,20
0,0,0,0,0,0,0,0
7,6,6,4,59,67,64,38
1,2,0,1,0,0,1,0
11,11,17,4,29,19,44,18
34,40,33,47,6,12,8,6
10,5,11,16,8,10,5,18
16,24,25,42,2,1,3,7
9,3,11,11,2,2,1,0
0,0,0,1,10,25,9,11
1,1,3,0,74,82,79,127
12,22,17,6,174,177,140,243
14,15,12,18,1,2,5,2
1,0,4,2,5,1,4,10
13,33,26,24,26,37,29,19
9,9,5,1,12,13,5,7
0,0,2,1,59,51,39,37
23,24,8,25,0,0,0,0
38,33,48,30,12,17,9,17
2,2,7,3,0,0,0,0
19,24,18,16,4,5,9,3
0,0,0,0,51,50,52,53
5,5,6,8,15,11,8,2
0,0,0,0,7,3,1,9
15,13,12,6,33,29,24,23
25,11,26,9,12,19,15,19
2,0,1,0,0,0,0,0
0,0,0,0,1,1,1,0
61,63,55,61,0,0,0,0
2,3,1,1,0,1,0,1
1,2,3,0,8,4,7,4
0,0,0,0,5,6,11,9
0,0,0,0,19,13,14,9
0,0,0,0,1,2,1,0
4,3,5,8,10,11,9,10
8,5,10,8,0,0,0,0
0,0,0,0,56,46,83,66
1,0,0,0,0,0,0,0
20,20,20,9,6,2,2,2
31,32,31,40,17,11,8,15
7,9,7,21,11,6,11,7
3,0,1,4,1,2,4,13
39,28,28,14,59,65,74,6
5,1,7,5,10,9,8,8
11,11,13,28,9,12,11,9
0,0,0,0,3,2,6,26
57,58,42,28,1,6,4,0
0,0,1,0,34,34,35,50
71,84,70,27,0,1,0,0
21,31,25,13,31,41,40,17
7,9,12,2,28,30,29,22
10,15,13,18,0,1,1,1
0,1,0,2,6,4,2,5
0,0,0,0,1,0,0,0
0,0,0,0,1,2,0,0
0,0,2,0,1,3,0,3
0,0,0,0,23,25,24,23
0,0,0,0,23,32,19,12
10,17,11,15,2,0,5,8
1,0,1,0,25,29,27,1
7,3,5,6,6,10,8,9
0,0,0,0,0,0,0,0
7,10,13,8,9,12,16,12
21,25,29,11,2,1,4,4
1,3,2,1,1,3,5,1
25,15,21,45,71,47,82,34
7,6,9,2,0,0,0,0
5,3,2,6,28,21,29,20
1,3,2,9,2,0,4,0
5,5,4,7,54,50,34,14
0,0,0,0,28,24,36,18
0,0,0,0,25,21,14,5
37,38,41,87,19,19,11,10
3,4,4,5,6,4,10,7
11,7,9,11,7,3,4,9
28,20,30,59,0,2,0,1
55,60,39,49,0,1,4,4
0,0,0,0,19,19,9,12
1,0,0,0,4,4,4,3
0,0,0,0,14,4,4,5
49,46,58,93,18,26,20,36
1,1,1,0,13,11,11,13
4,9,6,1,3,6,4,4
0,0,0,0,0,0,0,0
14,16,13,9,20,13,26,14
0,0,0,1,0,0,0,0
38,40,49,50,44,51,52,48
3,4,3,4,0,0,0,0
0,1,0,1,22,25,28,16
0,0,0,0,22,23,21,27
7,9,11,4,5,3,2,4
13,16,11,4,3,1,5,2
49,47,40,68,8,6,3,5
33,23,42,15,51,50,60,16
0,0,0,1,34,35,31,33
0,0,0,0,10,18,19,11
16,21,16,24,3,4,4,6
32,29,26,16,85,83,79,149
30,43,36,16,5,9,4,5
10,10,9,2,30,16,17,19
5,5,4,4,0,0,1,1
30,31,34,37,66,79,69,19
6,1,3,0,2,2,1,5
0,0,0,0,123,106,128,407
34,15,33,42,2,9,7,5
8,6,6,4,4,1,1,0
23,28,38,2,22,11,23,16
12,11,9,7,7,5,10,23
3,3,15,11,0,5,3,0
15,18,18,25,37,32,43,53
18,24,19,36,0,0,0,0
10,9,10,9,33,29,37,15
6,9,14,3,44,33,36,17
3,1,2,2,2,1,1,1
59,46,74,26,0,1,0,1
26,34,19,30,4,4,1,8
11,12,11,11,19,23,24,8
0,0,1,1,31,22,23,47
16,19,25,26,1,2,1,3
1,6,2,5,13,10,11,8
0,0,0,0,7,6,6,7
29,19,23,20,24,24,28,28
3,0,2,1,0,0,0,0
11,18,11,10,8,10,6,8
0,0,0,0,0,0,0,0
7,5,17,10,11,13,21,5
3,1,1,0,5,4,1,1
0,0,0,0,17,26,21,16
22,26,25,16,11,11,14,13
0,0,0,0,0,1,4,0
0,0,0,0,21,18,18,1
4,0,0,1,0,0,0,0
3,3,4,0,9,6,6,5
26,26,28,11,0,0,0,0
17,13,20,6,9,9,7,5
0,0,0,0,30,18,24,20
6,22,8,9,8,14,10,10
1,0,0,0,1,3,1,0
2,6,2,3,30,29,27,53
21,16,39,12,13,27,20,3
4,4,5,2,0,0,0,0
32,31,25,18,0,0,0,0
40,39,55,104,0,0,0,0
0,0,0,0,26,21,25,12
3,0,4,1,7,6,9,10
23,36,32,5,23,32,32,1
66,45,51,124,54,54,57,91
10,15,12,4,15,16,16,42
144,100,138,184,14,10,7,8
23,18,16,36,2,2,2,0
3,1,1,0,2,2,2,6
144,157,102,55,19,14,13,4
1,3,2,10,39,35,48,41
5,2,2,1,0,0,0,0
2,5,6,4,26,35,36,8
10,6,15,35,0,0,1,0
0,0,0,0,0,1,1,0
67,92,92,23,5,14,5,14
5,7,9,2,28,27,31,28
25,22,30,23,31,24,30,66
0,0,0,0,13,17,12,126
11,3,11,3,31,32,29,31
61,65,61,57,18,26,13,25
75,65,81,28,7,3,4,0
1,3,1,1,0,0,0,0
0,0,0,0,3,2,3,0
10,6,8,3,19,21,16,13
53,39,30,158,25,40,37,24
0,0,0,0,76,78,80,119
9,3,3,3,47,38,50,52
7,13,7,6,18,15,24,54
7,12,12,6,4,6,10,2
3,0,2,3,2,3,3,1
5,3,2,3,17,11,21,3
3,7,12,3,5,2,1,3
4,8,9,5,20,17,17,17
17,12,17,30,4,7,10,6
11,14,13,59,4,2,3,2
14,15,9,3,0,0,0,0
83,88,98,44,13,9,11,0
43,37,46,13,6,10,4,17
12,11,12,15,47,43,53,20
10,20,8,7,1,1,6,1
1,1,0,1,0,2,2,0
4,6,3,6,4,6,5,1
4,5,7,14,0,0,0,3
20,21,21,2,9,2,1,10
13,5,12,14,14,11,15,9
0,0,0,0,0,0,0,0
78,59,88,70,2,3,3,0
5,4,8,9,10,6,2,15
6,5,6,13,25,11,9,18
11,4,10,0,0,0,0,0
26,28,30,37,0,0,0,0
0,0,0,0,0,0,0,1
13,12,19,13,6,15,13,6
9,4,10,7,4,2,9,1
0,0,0,0,40,63,66,4
0,0,0,0,1,0,0,0
11,9,13,9,0,2,1,0
5,3,4,4,4,4,6,3
64,52,40,156,22,24,39,78
3,1,0,7,17,13,24,3
14,16,7,18,16,10,9,1
25,6,20,24,2,0,1,2
20,26,31,26,0,0,0,0
4,3,1,2,0,0,1,1
1,5,5,0,17,14,13,2
0,0,0,0,105,120,98,7
10,14,15,1,1,2,4,11
26,29,26,50,0,1,0,0
25,21,23,11,1,0,7,0
4,2,2,5,0,1,1,1
0,0,0,0,0,0,0,0
40,36,41,43,84,78,104,120
9,14,11,14,3,4,4,1
31,35,29,5,6,3,6,2
17,13,20,29,11,13,18,13
19,15,14,16,0,0,0,0
7,14,1,8,0,0,0,0
0,0,0,0,2,4,5,0
9,11,9,5,6,2,1,0
16,20,14,42,0,0,0,0
1,1,0,1,58,62,51,46
0,0,0,0,23,20,28,4
0,1,0,2,0,0,0,0
0,0,0,0,40,38,28,39
13,16,27,14,9,6,9,8
8,3,1,2,3,4,11,4
2,0,3,2,48,46,59,48
9,10,6,7,3,4,6,1
0,0,0,0,13,10,15,11
4,2,4,4,7,7,15,12
25,19,23,25,0,0,0,0
32,29,21,33,0,0,0,0
3,2,1,14,10,16,15,20
35,30,47,42,13,12,15,1
16,10,14,43,32,32,27,5
21,9,17,10,25,33,29,72
6,12,6,5,0,0,0,0
5,8,4,2,3,5,6,8
14,13,18,16,0,0,0,0
5,7,6,0,1,1,2,1
35,40,23,35,23,26,20,11
0,0,0,0,6,5,5,2
1,0,0,1,13,8,7,5
54,41,55,129,67,44,66,18
4,5,3,13,9,10,15,5
1,1,1,1,4,3,0,3
7,13,13,13,5,6,2,0
0,0,0,0,36,23,38,32
4,3,9,9,17,17,20,33
0,0,0,0,10,6,6,14
3,3,2,0,7,6,6,2
28,40,32,28,9,4,10,3
7,6,6,4,0,0,0,0
2,2,4,1,20,20,21,13
9,11,5,2,22,26,32,18
20,14,22,4,0,0,1,0
13,11,12,10,3,3,4,11
42,40,32,0,17,21,14,40
22,27,27,54,13,16,13,7
0,0,0,0,3,0,0,2
0,3,1,0,19,28,19,4
15,24,26,27,68,85,64,8
19,14,12,25,11,16,13,0
0,0,0,0,2,5,4,5
0,0,2,1,3,5,4,3
63,33,65,8,2,1,0,2
17,12,19,10,5,4,3,3
33,48,18,11,3,13,10,20
1,1,1,0,35,51,39,23
5,13,8,12,7,11,8,3
1,0,1,2,2,1,2,0
0,0,0,0,5,4,4,6
11,5,8,8,26,25,33,20
14,5,10,8,0,0,0,0
68,60,84,98,155,154,135,29
5,9,20,5,1,1,0,0
16,18,28,9,9,6,1,1
11,9,10,4,4,2,1,9
5,7,11,2,0,5,4,0
0,0,0,0,2,2,1,5
11,7,14,8,0,0,0,0
11,10,10,2,23,16,25,11
69,67,51,205,11,10,13,2
7,3,7,1,29,39,30,29
2,0,0,3,8,10,9,17
5,4,6,5,23,28,23,11
1,1,1,1,4,2,0,0
0,0,0,0,0,0,0,0
20,33,37,11,2,3,5,8
20,23,17,37,15,28,12,27
14,8,16,20,3,1,2,2
0,0,0,0,2,1,1,2
4,3,3,6,3,2,4,9
14,7,9,12,34,26,35,56
4,8,2,8,26,25,25,22
11,13,5,15,8,9,11,14
32,32,31,38,21,29,22,33
28,15,21,7,10,15,11,29
0,0,0,0,5,15,7,3
21,23,14,48,0,0,0,0
0,0,0,0,21,17,18,4
32,38,32,26,6,14,3,4
4,5,5,10,11,8,14,14
51,51,52,114,4,10,8,0
12,6,5,2,12,11,11,4
3,5,1,4,4,2,2,6
1,0,0,3,14,10,8,9
5,20,6,11,38,45,45,14
18,15,11,0,22,24,22,36
29,36,31,20,0,0,0,0
4,3,0,1,7,7,10,1
13,17,30,5,17,12,19,1
9,12,13,37,13,8,12,5
18,24,22,5,7,4,2,0
21,14,19,18,27,16,26,6
4,13,8,6,4,5,5,6
23,15,16,6,5,2,2,4
25,35,17,38,9,7,4,6
3,6,6,0,0,0,0,0
7,5,4,5,18,15,15,69
0,0,0,0,0,0,0,0
4,2,1,1,53,70,57,47
0,0,0,0,0,0,0,0
6,8,10,2,0,0,0,0
0,0,0,0,0,1,0,0
37,27,51,43,8,5,11,24
4,1,3,4,48,47,62,5
29,49,39,16,35,24,48,14
28,29,29,1,2,1,1,7
20,22,14,3,6,6,10,12
3,3,2,1,8,5,3,0
4,6,3,3,0,0,0,0
5,4,3,0,2,1,2,4
0,0,0,0,2,2,0,1
0,0,1,0,22,13,11,45
22,19,24,51,17,16,15,34
2,5,5,8,35,50,48,4
37,28,30,21,0,0,0,0
0,0,0,2,41,40,22,33
4,0,5,0,4,5,6,5
44,52,38,31,16,7,13,1
0,0,0,0,39,52,47,159
1,1,3,0,0,0,0,0
70,59,61,40,3,2,3,6
40,39,23,28,0,0,0,0
0,0,0,0,6,4,12,2
14,12,17,17,7,4,3,5
1,1,1,0,24,16,17,53
0,1,0,1,3,8,5,1
22,15,15,23,25,20,18,24
25,19,27,0,51,30,48,48
1,2,1,1,6,3,8,3
38,66,52,64,7,8,9,9
3,7,0,3,4,3,0,0
15,20,22,1,14,14,2,5
4,3,7,2,33,30,36,10
0,0,1,0,10,7,8,15
0,0,0,0,23,23,11,37
2,2,2,1,19,23,25,11
21,25,18,3,11,4,9,3
2,3,4,3,0,0,0,0
5,5,5,6,31,32,36,6
27,40,37,21,0,1,0,1
0,1,0,3,4,1,3,3
13,13,6,11,13,1,4,2
18,22,33,93,6,5,3,6
16,15,9,32,10,8,9,14
0,2,2,0,2,4,4,8
6,7,6,12,14,9,13,10
1,2,1,0,14,13,12,4
4,2,4,1,5,4,3,11
54,52,67,36,14,17,16,38
11,12,5,1,7,10,7,2
0,2,0,0,3,4,4,0
1,0,1,1,4,8,8,10
5,3,9,19,38,39,48,52
0,0,0,0,10,7,9,8
48,61,43,36,9,19,20,17
0,0,0,0,1,1,1,2
11,16,20,20,38,35,33,31
0,0,1,0,21,30,30,11
1,1,3,3,1,2,1,1
2,2,2,3,2,1,1,1
4,2,4,1,5,4,4,0
11,13,14,6,0,0,0,0
1,3,2,3,0,0,0,0
3,1,0,0,17,23,26,5
2,0,1,0,32,34,36,29
0,0,0,0,2,1,0,0
45,35,38,18,116,98,146,117
2,2,1,6,13,18,8,3
29,25,24,37,23,27,24,9
0,0,0,0,21,20,20,31
0,0,0,0,26,21,24,26
5,7,4,2,64,62,57,146
3,0,1,3,35,23,41,54
13,12,10,29,1,2,0,2
93,92,85,87,0,0,0,0
24,31,27,48,22,30,18,0
3,1,3,1,11,17,8,2
27,29,16,35,36,39,28,16
6,7,7,8,0,0,1,0
1,1,0,1,0,0,0,0
4,0,6,2,0,0,0,0
50,37,46,101,0,0,0,0
6,10,13,4,22,39,34,3
0,0,0,0,2,2,2,9
2,5,2,1,9,11,13,1
0,0,0,0,49,69,64,64
11,14,9,3,15,15,18,1
2,0,1,0,0,0,0,0
4,6,8,7,24,19,24,48
18,13,16,5,5,3,11,7
13,23,17,10,2,11,7,8
17,21,25,1,3,1,4,3
4,2,1,6,3,2,4,3
0,0,0,0,4,4,7,3
12,16,10,9,4,6,6,0
2,6,2,1,0,4,0,0
0,0,0,1,91,113,116,91
30,33,36,13,0,0,0,0
0,0,0,0,0,0,0,0
2,1,2,1,15,17,11,12
23,20,16,26,5,5,4,8
10,15,13,6,4,9,8,7
5,1,3,1,44,62,32,40
4,3,4,0,22,18,20,19
42,43,28,5,1,0,0,1
9,14,19,7,5,11,6,8
5,4,3,4,5,7,12,1
10,17,17,38,5,4,3,13
0,1,2,1,10,12,5,16
9,6,12,19,0,0,0,0
38,45,37,78,117,102,116,119
91,99,84,132,4,10,5,2
34,42,46,49,6,1,4,2
12,9,5,1,50,62,53,26
0,3,0,2,17,17,18,14
35,24,30,18,64,85,102,16
0,0,0,0,0,0,0,0
4,7,11,1,3,3,4,7
0,0,0,0,0,0,0,0
0,0,0,0,32,32,21,41
44,38,37,29,60,57,60,44
10,8,5,12,0,0,0,0
0,0,0,0,29,37,21,17
13,10,18,23,14,12,17,33
22,23,19,9,3,2,1,2
0,0,0,0,27,29,14,21
0,0,0,0,0,0,0,0
18,7,0,1,35,28,33,8
1,0,3,1,0,0,0,0
18,13,12,21,9,11,10,55
56,53,64,90,19,18,18,8
5,9,0,8,17,12,15,13
0,0,0,0,0,0,0,0
18,22,22,33,14,14,16,9
6,11,7,15,1,1,3,0
0,0,0,0,13,11,14,2
1,1,1,1,14,7,7,29
21,33,21,67,59,58,50,20
18,16,22,8,37,51,48,8
2,2,4,0,0,0,0,0
11,17,11,39,38,41,54,22
0,0,0,0,0,0,0,0
2,4,6,2,7,12,12,7
1,1,0,2,3,5,3,0
2,2,1,0,25,43,27,34
0,0,0,0,45,32,60,6
12,7,13,5,0,0,0,0
1,0,0,0,21,20,10,10
36,45,44,5,0,0,0,0
6,9,8,8,8,7,12,7
1,0,1,1,13,11,3,9
0,0,0,1,0,3,0,0
39,40,27,158,6,14,19,12
2,2,2,4,9,9,5,0
33,29,18,49,4,3,4,24
19,21,23,32,13,13,12,17
24,20,38,35,0,0,0,1
0,0,0,0,0,1,0,0
3,0,2,0,5,2,5,0
1,0,0,0,0,2,1,5
0,0,1,1,10,6,3,9
11,7,13,4,47,60,46,65
51,47,42,39,41,37,33,18
0,0,0,0,24,15,25,15
1,0,1,0,16,14,24,14
5,6,2,4,42,38,46,40
40,42,39,20,0,0,0,0
10,9,6,0,2,1,0,2
1,2,2,0,1,1,1,1
25,23,20,20,23,15,14,45
33,25,20,27,31,50,32,7
9,14,12,6,0,0,0,0
4,2,3,2,23,21,25,8
51,60,56,94,0,2,1,3
6,10,7,2,53,58,26,40
0,0,0,0,4,5,6,11
6,4,5,3,20,20,22,15
22,35,20,21,12,10,5,4
2,2,4,20,34,27,43,28
0,0,0,0,39,38,31,10
23,17,31,0,87,99,57,83
1,4,4,1,22,26,24,9
5,8,12,19,0,0,0,0
9,12,12,11,3,4,0,1
60,46,52,96,0,0,0,0
6,6,9,6,3,8,9,3
0,0,0,0,1,2,1,0
19,16,24,8,4,6,13,1
0,0,0,0,1,1,1,0
11,12,12,6,6,9,4,1
0,1,0,2,10,11,6,14
23,29,15,7,4,2,8,2
56,45,53,65,9,8,12,5
2,1,0,2,60,67,48,16
29,24,32,2,1,0,2,0
5,7,8,3,8,6,4,12
0,0,0,0,79,98,72,95
21,18,11,4,1,0,1,4
5,2,4,8,26,36,37,8
3,9,6,5,1,2,3,2
9,6,13,18,50,40,72,119
23,27,31,48,0,0,0,0
3,5,4,10,0,0,0,0
0,0,0,0,8,8,7,34
3,3,0,3,0,0,0,0
51,53,63,30,1,9,3,2
22,19,21,15,27,23,20,2
4,2,3,4,0,2,0,0
0,1,1,0,52,70,55,2
1,2,2,0,76,52,59,122
0,0,0,0,1,1,0,0
17,16,13,14,0,1,0,0
49,66,48,10,8,3,3,3
92,67,71,69,10,10,10,11
34,35,45,61,7,9,6,6
7,8,10,5,31,40,40,79
4,2,2,11,0,0,0,0
15,6,5,5,5,5,6,2
2,4,2,2,14,8,17,9
53,58,61,64,49,49,45,25
27,20,20,27,1,0,0,1
29,38,32,7,0,0,0,0
36,19,38,99,6,8,4,4
10,16,12,12,0,0,0,1
0,0,0,1,10,14,11,10
12,21,7,7,6,8,6,3
0,1,2,0,7,8,3,11
1,2,4,11,47,45,49,34
7,17,12,19,33,24,22,40
80,86,80,3,1,2,4,1
49,40,51,96,6,0,3,1
0,0,0,0,17,10,11,36
13,10,10,9,0,1,0,2
35,44,37,9,4,11,9,11
16,18,8,19,5,11,8,9
9,14,23,7,25,20,14,2
0,1,3,0,0,0,0,0
1,2,1,0,20,24,13,8
0,0,0,0,2,0,0,0
40,38,48,21,46,43,55,14
0,0,0,0,81,94,77,31
0,0,0,0,11,5,12,18
50,51,51,38,36,42,32,36
1,3,3,0,10,7,4,16
12,7,13,5,14,12,11,8
11,7,10,5,33,29,28,3
8,13,5,3,8,12,11,36
18,15,9,12,5,4,2,4
21,34,18,76,36,58,34,0
56,37,68,70,3,2,2,1
33,27,28,16,19,30,19,16
7,12,8,2,32,32,33,109
2,2,2,0,13,3,11,8
6,1,2,11,0,0,0,0
40,46,43,65,3,1,2,0
0,0,0,0,2,4,4,7
0,0,0,0,58,48,50,39
11,14,9,12,0,0,0,0
23,30,33,0,0,1,0,2
3,3,2,1,92,96,62,72
13,26,13,49,6,3,6,1
7,9,10,0,2,6,4,1
16,15,21,4,2,1,1,0
14,9,15,21,7,10,5,9
30,26,18,26,46,34,58,70
0,0,0,0,1,2,3,0
9,12,13,53,25,28,39,5
11,3,7,33,0,0,0,0
14,16,9,15,13,16,6,15
1,0,1,0,0,0,0,0
44,40,40,64,3,3,10,7
10,13,18,5,49,58,38,26
2,0,0,1,17,13,18,5
66,81,84,62,20,26,23,5
41,38,42,2,2,1,0,1
7,4,9,0,0,0,0,0
4,5,14,12,0,0,1,0
18,14,16,18,0,0,0,0
50,55,49,115,3,3,7,10
0,0,0,0,48,44,52,69
23,19,34,37,16,19,18,8
14,9,11,43,33,36,35,62
14,16,8,34,5,4,0,2
6,6,5,14,31,39,27,11
4,14,17,4,3,7,4,1
3,7,5,12,1,0,2,0
0,0,0,0,6,10,7,2
42,44,39,13,1,2,1,0
4,8,6,1,1,1,2,2
5,9,8,2,0,0,0,0
3,4,6,0,6,7,1,14
95,96,104,86,3,4,3,11
2,0,2,2,28,13,18,36
5,9,6,10,3,4,6,13
5,3,4,0,3,1,0,1
11,10,12,4,8,6,4,6
26,18,22,8,19,22,18,63
10,11,7,3,6,5,6,4
2,2,2,7,20,21,8,31
1,0,0,0,1,1,5,1
5,4,6,8,3,3,5,8
81,73,82,217,54,32,37,46
11,11,9,5,8,6,5,12
6,2,2,2,3,2,4,2
5,3,5,20,0,2,3,0
0,0,0,0,4,1,4,2
8,5,13,7,0,0,0,1
1,0,2,1,20,20,15,51
44,48,64,45,33,22,28,4
0,0,0,0,14,17,14,43
6,5,6,11,15,11,15,32
7,8,11,7,24,30,24,6
0,0,0,0,7,10,11,24
28,37,32,70,48,37,46,9
4,6,8,2,2,1,1,1
5,1,2,1,17,7,7,2
36,44,26,17,24,26,20,54
6,2,7,4,49,50,34,24
11,9,9,12,0,0,0,0
0,0,1,0,0,4,1,2
130,92,159,32,31,26,24,7
0,0,1,0,25,28,25,10
31,26,17,17,19,15,23,27
39,27,26,4,19,16,19,0
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
13,11,16,6,29,30,36,56
1,1,2,2,43,50,74,187
14,19,11,15,10,7,10,18
65,58,43,36,3,1,5,2
38,33,36,26,0,0,0,0
25,32,15,16,15,14,21,2
25,23,61,14,0,0,0,0
0,0,1,0,3,3,2,10
7,11,12,10,18,15,18,10
22,10,27,14,0,0,0,0
2,2,1,5,0,0,0,0
19,16,29,14,8,8,16,4
6,28,13,3,55,54,59,54
14,14,12,11,3,7,5,3
0,0,0,0,0,0,0,0
16,10,14,1,0,0,0,0
6,10,5,3,0,0,7,3
12,5,9,11,0,1,1,2
12,11,6,5,0,1,0,0
0,0,0,0,8,10,9,8
13,17,17,28,32,29,28,28
3,9,3,11,7,9,8,8
4,6,7,2,0,0,0,0
9,10,5,24,16,10,21,15
4,1,9,9,24,20,15,26
5,4,5,1,14,10,10,21
11,11,10,6,4,7,3,1
1,4,4,9,69,73,89,102
6,2,8,7,1,3,3,16
22,23,15,29,0,0,1,0
21,14,20,8,10,14,10,9
3,0,1,1,23,14,28,29
27,22,13,17,18,20,14,67
35,40,38,0,8,11,10,13
2,5,5,1,36,51,41,7
22,15,19,10,12,15,15,20
0,0,0,0,4,3,3,5
3,7,5,3,3,4,4,3
1,2,1,3,25,11,26,32
5,5,0,10,1,2,1,4
13,8,6,7,5,7,2,0
5,2,1,8,14,10,13,15
57,54,59,35,31,37,34,100
30,27,24,42,12,18,17,24
0,2,1,1,66,60,66,27
