"sim1_repl1_before","sim1_repl1_after","sim1_repl2_before","sim1_repl2_after"
1666,1987,1464,1433
821,667,1279,1567
2373,3252,2762,3472
521,899,764,1017
863,800,1091,946
3388,3161,3960,6355
431,579,706,628
1481,2564,2215,3949
2059,2842,2431,1494
1576,1771,1844,2620
1988,4684,2122,276
2304,1880,3002,2792
1364,1537,1518,1808
4653,2574,5622,6894
3078,6293,3738,4051
444,573,544,468
1355,2082,1693,748
2025,2838,2484,1678
4552,3443,6008,5232
644,430,1113,282
1524,1772,1800,3995
1147,877,1281,680
1044,806,1256,1034
1064,826,863,712
2041,3141,2495,1385
2064,705,3654,3717
3222,3535,4326,2014
1305,651,1468,2036
2182,1812,2229,3975
2703,2542,3029,3194
959,1658,1343,852
2128,971,2377,4635
1237,521,1621,1518
2292,3151,3063,3096
2846,5213,3303,1727
940,1584,1496,1222
1269,3751,1478,2317
285,470,355,676
3822,2544,4254,3546
1661,2391,1945,2890
3755,8250,5147,4163
1695,2259,2148,2356
932,1527,823,1261
725,975,594,762
2012,1638,3033,4875
1166,1406,1274,541
1775,1502,1137,896
1659,891,1652,2553
647,531,850,759
1454,2666,1038,935
1957,4203,2539,4176
2192,2580,2839,1524
2472,1958,3103,3456
1225,983,1624,1780
938,858,1329,1007
622,749,704,1133
3228,2940,3530,3879
781,1785,746,605
1185,1107,1588,1564
1768,857,1790,2194
1497,3545,1887,1416
74,119,130,92
3145,1406,3538,5586
680,1452,824,339
1559,4013,1893,1020
961,871,1412,2591
1362,1064,1510,2544
207,380,565,827
2842,1325,3117,1878
1436,1820,1386,2174
1130,1825,1342,1525
1908,1004,2487,1985
608,1301,902,569
1992,5137,2502,3842
1318,1888,1407,2608
1455,2590,1535,1369
1366,2052,1831,1194
3609,4088,4248,2490
1114,2768,1313,1785
3702,7535,4375,3803
1663,2640,1490,1484
3010,1095,3100,4884
670,589,1150,1341
772,850,1087,654
1517,933,1972,3177
4321,3896,5439,8642
3165,4341,3604,5900
253,300,502,1207
1097,1992,1283,2360
867,831,796,357
1956,2969,2626,5780
928,951,986,484
2389,1668,2865,1637
378,293,616,554
3911,7332,4405,928
7959,9079,9065,10674
2962,1723,3418,4931
825,1299,1504,1341
528,636,1097,1164
552,508,743,553
2206,3104,2328,1531
3117,2353,4170,4455
1217,977,1718,960
753,374,560,660
1029,1006,1230,1364
933,568,1247,462
1189,838,1190,1974
1949,1911,2242,2279
1502,2848,2055,2658
1636,1388,2446,616
435,360,635,652
663,944,352,342
977,1492,1232,922
297,275,434,321
1661,3023,3047,1174
5409,4430,6288,5925
4301,5272,5054,2565
3961,4539,4561,5704
889,526,1129,837
724,1098,783,239
3721,5482,3593,4356
2443,3236,3241,2536
2851,4251,4050,2030
1874,3079,2016,1634
3628,3633,4529,4955
782,763,629,1023
1386,1428,1780,3359
1720,941,2396,4024
1390,1527,1289,1904
985,456,1163,1386
1451,2221,1760,2467
794,1880,795,878
1333,1509,1653,1062
1520,2106,1373,685
2825,4552,3036,4116
2022,2099,2391,3611
724,1208,825,1316
1003,1227,877,1337
543,346,856,560
1153,426,1868,4194
609,779,808,506
1191,674,1562,1459
797,1149,817,1508
1349,2194,1300,707
1686,1826,2615,2375
3855,3052,4944,8099
380,310,555,558
565,1140,673,1543
2409,3497,2723,2863
753,544,922,948
2533,6034,2812,1725
1359,765,1744,3547
818,477,927,1269
1148,1226,1454,1311
2992,1574,3660,8342
4637,7396,6252,3429
1348,1425,1241,2327
988,2072,1033,475
1357,2058,1959,1903
657,391,815,783
844,1666,923,832
2239,1985,2563,2801
588,697,726,460
962,584,1459,2130
677,1527,506,207
2298,2170,2525,3471
565,721,1011,1044
4408,5690,6115,8696
1925,1892,2023,2371
2936,1276,3218,2130
1705,1364,2018,2012
1326,3137,2247,1962
1715,2700,1971,1030
2820,6162,3183,4275
753,1277,901,979
683,429,901,1252
1671,1309,2024,1489
926,647,1304,1878
2930,4948,3185,3221
2625,3025,3412,5002
540,930,632,1026
1131,800,1372,3047
962,1354,987,673
963,815,1252,1843
3314,2796,3949,5247
699,1109,1019,1164
2175,3351,2381,1616
1516,2020,1583,830
2130,3047,2537,3342
852,1618,998,559
683,639,1332,1869
1087,2126,896,1056
936,2525,1165,1418
425,525,691,604
1200,1903,1746,2993
547,1321,470,588
1799,3270,1910,2494
1892,3031,2424,4284
1400,1823,1196,1103
1636,883,1883,649
810,1605,733,1674
771,1310,979,1277
476,276,555,350
674,482,846,1488
1578,2894,2226,2868
1744,3574,2289,1505
2362,3800,2933,1601
1313,888,1654,1583
1734,4586,2149,1652
700,804,1357,1347
1391,1391,1459,281
3030,2678,3636,4044
2117,2681,2876,4180
1224,1792,1916,1086
3424,1694,4047,3335
2279,3850,2495,2477
4434,4239,5105,4032
1794,747,2098,3141
71,106,65,54
2520,3759,2570,4063
1700,1535,2114,3233
548,996,543,499
1063,1601,1098,879
2920,1398,3319,7057
1457,2373,2001,1238
510,446,673,1008
2726,3917,3610,4658
2837,4219,3893,4528
1820,737,2406,2631
2965,1384,3993,4168
1491,2515,1970,2661
982,837,1092,1335
708,1293,802,693
1920,2557,2605,1513
2109,4880,2717,2816
3096,2062,4175,5363
1076,1313,945,1226
1018,1059,1211,1673
3504,1374,4259,3185
885,1400,975,719
1940,1282,2368,1507
949,1183,1482,3409
1102,2540,1566,2292
917,856,861,894
2489,3494,3270,3591
2122,2759,2993,4520
2561,1186,2390,2399
1709,1616,1859,823
1527,1732,1714,1490
606,621,958,1161
2305,2844,3028,2679
1722,1953,3078,5848
1634,3746,2346,1096
1707,1707,2219,3849
227,511,302,258
1677,1008,2504,3075
1407,1140,1445,1415
1802,1173,1992,1503
3060,4314,3337,3785
1209,1279,1110,1146
457,489,882,1034
2615,2971,2634,3016
3333,2196,4335,5120
973,584,1139,528
1915,856,2049,3037
311,226,314,318
2280,3840,2669,2107
1697,782,2536,2136
508,613,575,725
5373,4104,5745,3786
1528,1840,1794,731
1292,1200,1100,3197
1015,695,1085,1850
1150,1576,1541,2023
824,1053,1065,826
3662,6085,3809,2413
797,630,929,467
834,856,888,1171
1314,2286,1444,1429
1466,1505,2390,1978
2311,2770,2779,2808
3815,8476,4711,6245
1503,2349,1626,2251
1966,2087,1904,1851
1136,1578,1714,2120
1102,1376,1137,1276
2632,1395,2470,3031
3099,3204,3672,2843
1636,1946,2220,2105
2345,1212,3652,6814
1511,1074,1570,1451
651,624,835,1107
1785,2683,2804,3753
1216,1523,1870,2101
1668,1582,1794,986
2044,2176,2054,826
1853,628,2919,6563
2011,2615,2199,1752
3358,2662,4326,6011
3641,2865,4917,5537
119,309,243,334
1375,1111,2261,5031
459,393,754,1098
1776,1670,1836,3056
660,755,668,1090
2835,3532,3243,7620
1751,3269,2307,936
1482,650,2141,2108
2315,1482,1985,2184
2172,2060,3008,3730
2711,4222,3181,1868
3610,3432,4613,6741
903,513,1123,1647
955,1017,1448,1289
1307,705,1878,2054
1577,2699,1954,1651
2026,2430,2065,1071
863,833,764,400
1835,4023,1553,2007
996,846,1123,786
3689,7163,4427,4738
2837,2199,3477,2072
2009,1341,2719,3237
735,641,743,517
1577,1932,2361,3588
1360,878,1541,851
187,200,176,166
329,405,335,319
3062,483,4035,6830
3910,2781,4391,6821
1029,1191,1412,1452
2277,1318,3385,3936
977,750,1472,1683
1375,2612,1383,1474
2061,3181,2002,2375
626,1807,861,1132
415,650,348,332
1314,1570,1739,1142
1396,1089,1247,1305
984,1466,969,2725
2077,1775,2124,1517
1946,4116,2505,3276
970,1219,1663,1890
1633,3212,1740,2177
268,304,256,77
3370,1173,3694,3967
2824,2251,3249,3417
398,830,480,366
3660,1487,4661,3429
2308,2680,3564,2654
1009,503,1464,1778
1952,3046,2066,2268
821,1189,745,930
3206,2379,3352,7390
1084,1971,1160,1311
2687,4025,3115,2110
374,426,490,477
1822,1777,2264,2838
1064,1746,1378,1067
2437,2459,2232,1702
699,741,723,569
2320,4184,1910,2371
786,659,905,2485
820,1053,1125,731
550,630,1115,403
363,270,599,461
2691,1890,2330,3513
433,1352,533,625
1019,1820,1185,1480
772,1607,947,1353
1451,2181,1914,890
2074,3720,1950,1912
1406,1120,1820,1959
1516,1966,2205,3412
962,206,1371,1144
1086,879,1479,1391
5046,5511,5589,4843
1550,961,1953,2385
1175,1718,1893,634
1272,2595,1972,1841
2014,2314,2394,3147
1135,4124,881,1320
1561,2049,2270,2480
1619,1647,1326,2918
1084,1458,1110,1506
697,963,942,369
1502,1531,1869,974
573,391,917,700
487,1013,660,797
328,172,435,427
817,1504,1309,1863
735,632,1026,2596
2388,4541,2895,3201
1813,4553,2441,1706
570,695,789,1368
278,221,256,182
597,1034,707,1588
1176,1861,1417,1063
609,490,380,323
336,201,667,200
1835,2426,2725,5184
4046,2910,5189,4239
2984,4631,3806,3017
3765,3715,4346,4548
1449,1723,1517,1840
543,649,597,894
2165,3415,2823,2467
1727,1993,2728,2312
2812,2943,2652,2881
3008,3625,4279,3827
1675,2731,1675,1112
945,1325,1198,1586
185,139,241,76
1302,1971,1114,888
1145,1002,1876,1064
1245,591,1542,2330
1076,1629,1671,1461
1288,2865,1815,2120
750,743,1450,2255
3137,923,4267,4150
3358,3805,3904,3576
2503,1874,3187,4816
1894,2782,1723,1506
1105,2437,1495,470
1794,2762,2087,2352
2041,1181,2514,1916
1812,2849,2476,3765
1466,1762,1487,1920
783,1051,1169,1953
1921,2575,2583,4841
656,921,1080,1530
1864,2207,2153,1494
530,853,713,853
1450,2894,2073,1441
1255,985,1279,1658
235,285,642,1132
1499,1721,1602,842
2671,2310,3500,8067
992,1101,1457,1614
97,184,295,463
1239,1975,1190,1693
663,1246,884,766
152,340,176,100
440,434,387,385
1193,1593,1201,786
3124,2744,4229,6277
885,1664,1193,821
2979,8377,3561,5377
946,939,981,849
1178,1049,1281,1748
1159,2897,1172,879
1555,2182,1871,2237
1187,1696,1541,825
1846,1496,2218,3044
1726,3664,1976,2307
2060,1636,2479,1733
2426,3359,3139,4987
949,335,863,813
436,287,840,2391
1150,1270,1269,599
507,707,807,597
3276,1954,4141,1933
430,599,774,992
156,70,324,385
705,1915,725,738
793,1679,834,774
1749,2741,1576,1667
3121,3145,3884,3158
321,333,341,518
1361,2452,1244,639
2655,2730,2949,1478
1907,2806,2563,3231
2245,2269,2606,2441
1804,4060,2880,7135
3111,4693,3778,5934
1745,2803,2557,3729
1135,2610,1659,2143
955,2249,1328,1391
1388,2394,1584,1500
2352,2658,2704,1493
2855,4925,3140,1696
1573,2894,1337,1753
1196,1133,1583,2418
1173,927,1471,813
2279,1223,3216,2675
495,520,937,985
339,567,301,280
677,1110,686,1190
1219,3106,1247,981
1671,3153,1792,1721
439,202,866,186
1107,803,1217,1335
1045,880,1828,2720
3746,4964,4001,5891
3293,1940,3505,3600
1420,1221,1547,3228
219,234,218,582
1330,2909,2014,1396
1429,919,2184,3336
1424,2543,1858,1795
1918,3890,2413,2637
2169,1319,2003,902
408,851,697,815
3567,1577,4213,4082
1717,1361,1625,2152
282,447,269,572
355,486,299,621
2197,4373,3100,4255
1682,2814,1423,538
986,520,911,493
1679,1649,2038,530
3201,3216,3631,1922
949,1312,1255,1388
2863,2650,3064,2157
2742,4283,3308,1541
1485,1838,1504,1775
1700,3309,1846,1331
1691,1912,1977,1571
943,999,1342,1652
1704,5090,3361,4047
1863,2905,2422,2192
774,621,1291,1393
1145,1069,1624,470
1332,1057,1642,1804
2093,1841,2765,3061
1426,2280,2316,1506
1316,1083,1549,2494
1432,1168,1815,1786
1732,1970,2199,2453
1149,1795,1580,637
392,439,741,928
4226,6054,4791,7133
3204,4359,3193,2530
583,735,1229,1104
725,1100,876,702
3344,3282,3612,2240
1328,1980,1317,1789
1354,1821,1348,1746
2916,4894,4056,1785
2573,2597,2639,1945
691,820,1277,1154
1561,731,2075,3722
2550,2906,2734,3689
819,917,878,1870
1080,855,1324,1379
3216,1968,3660,5275
2676,1733,3390,2248
485,455,590,364
2474,2707,3391,3286
1591,1418,2066,1632
1968,1869,2325,1596
1050,1429,1179,470
2408,2384,2973,4397
1047,1272,1905,1139
343,393,761,1094
858,939,694,1125
1804,3204,1827,2151
749,868,985,803
1209,883,1151,1481
383,380,336,266
1108,1489,1640,2708
1735,2236,1965,1494
1613,2466,2727,1767
2236,2632,1862,1082
890,1232,1132,633
250,360,314,492
1508,3041,1540,1879
1425,1427,1818,2204
1390,1133,1569,1140
1643,3016,2557,2247
2397,1352,2795,2155
1697,2168,2120,2542
2010,3620,2444,5272
2122,4057,1911,1955
2289,1748,3012,3248
1767,1262,1338,1238
1359,857,1893,2686
451,293,684,682
1104,1814,1427,1261
524,405,837,1252
2538,2146,2708,3845
1668,4385,2030,2283
2209,4684,2422,1924
1226,2059,1678,2538
1663,613,2086,5035
456,835,545,650
556,819,953,1268
1255,1153,1513,1527
922,682,897,602
2202,3680,2213,1114
1526,1197,1966,989
336,373,824,427
1562,1651,1522,2051
202,275,415,467
2837,3466,3279,1686
1467,1529,1896,2179
617,939,773,222
1865,1738,1380,1251
1077,1352,1134,2269
1564,3387,1527,1676
2585,3110,2518,2431
3353,1099,3780,6911
370,359,382,142
1418,2480,1659,2313
686,1382,910,1317
455,528,397,551
968,1002,1470,1112
1936,2034,1524,702
932,1227,1005,985
3036,2100,4360,3366
569,594,811,904
486,720,700,511
2263,1302,2494,3795
1275,1709,1996,730
2133,2844,2266,4907
1226,1088,1586,948
2166,3412,3232,6886
1509,1034,2215,3124
1621,2617,1836,2906
1574,1446,2340,1727
984,2069,1587,1243
1630,2914,1848,1988
2102,2826,2452,5093
1345,1823,1457,811
1429,1944,1477,865
1390,2423,1185,423
1125,3076,1419,1795
119,145,122,70
1432,749,1896,2288
1939,1152,2626,3832
682,384,1118,1326
2530,4171,3007,3402
545,357,607,861
2338,2664,2599,3771
1377,1890,1921,2945
1632,2027,2416,4621
2147,2377,1978,2579
812,1535,849,600
1295,1671,1444,2177
1094,1358,1517,883
1646,662,1839,1984
694,936,640,755
1618,1361,2394,1457
588,178,937,1564
1354,1438,1604,2601
2293,2217,3164,3108
1365,1986,1569,1755
1557,1552,1874,2076
955,466,1778,2026
842,1333,1319,1004
1298,1238,1486,807
1217,708,1603,1474
690,878,749,1290
1540,2237,2016,2055
342,169,461,516
1495,4398,1566,1722
1966,3253,2518,2048
189,140,575,308
2033,1547,2713,2219
1326,1477,1128,2481
1923,2471,2127,5927
305,250,430,707
756,800,743,625
932,1216,1565,2129
1359,1317,1638,4169
1745,2876,2546,3959
1895,1401,2515,2883
4008,3215,5399,3148
678,397,1164,1017
1162,1671,1354,1659
1695,2147,2603,2544
4699,8920,5187,5382
1023,1012,1027,650
4308,8932,4149,10062
1562,1500,1816,2629
1183,817,1521,1583
521,790,781,1415
2741,3327,3707,4030
1453,1786,1700,501
945,780,1002,1482
1160,1298,1709,2743
1199,3323,1379,1844
617,931,494,1092
1778,892,2861,3376
2459,2609,2882,1051
363,487,464,357
2584,3856,3527,2819
2054,1272,2086,2651
1108,1158,1539,1821
1828,942,2412,2922
775,920,1170,999
2814,839,3697,7432
1876,2245,2477,4190
1291,1386,1293,1294
917,752,1124,866
2569,6339,2998,1810
2211,3688,2574,2843
3068,3533,3476,3533
2417,2602,1908,2882
1793,1949,1834,1445
1687,2135,2083,2079
2290,3011,3350,2564
1145,539,1055,427
3765,4613,3967,5454
797,1826,643,1063
1100,1875,1063,963
1152,955,1798,1926
171,392,480,641
1400,939,2480,1874
314,455,488,449
1788,477,1712,1040
823,1284,1018,993
4332,7307,5415,3845
1194,1354,1280,725
867,1592,855,964
1207,1662,1254,1596
1502,2252,1136,2273
1752,4216,1381,1814
1650,812,1849,2977
1346,2099,1618,1563
1628,3254,1916,2332
2220,1461,3254,4148
1130,1598,1328,1780
782,1453,933,819
647,436,729,1273
1461,1457,1739,1377
3377,4254,3923,3428
2965,2814,3888,3594
346,818,440,513
2895,2002,3556,3991
2333,907,3060,6290
690,327,1215,670
2826,3206,3872,2818
1425,1412,1640,1599
2063,3196,2093,4234
1409,348,1579,1950
343,316,364,401
424,390,471,256
2049,3749,2085,2310
1445,1042,1939,3504
1298,2162,1147,960
1825,1375,2017,2820
1618,2685,1470,1700
2224,1283,2070,2172
1534,1202,1658,2540
1057,734,827,604
976,1601,1341,1205
957,607,1127,456
2567,4954,3167,829
984,1437,876,837
794,1197,827,1062
1425,836,1710,1905
2371,3411,2768,3061
1066,434,635,635
1057,944,1665,1674
596,549,893,1119
434,967,658,1068
863,917,1158,1273
4776,6041,6726,2340
2202,2357,2884,5248
1056,1547,1295,1818
2093,3333,2780,1204
2173,8926,3084,1870
1358,775,2120,1533
1691,4724,2574,3689
1521,1612,2304,2389
973,397,1512,2024
771,1311,792,984
1692,3127,2656,2051
733,601,929,835
2037,2532,3072,2845
4690,10697,5454,4995
1409,3003,2353,1611
4307,2880,4667,5456
164,318,136,160
573,459,580,223
2210,2740,2589,3229
1660,2341,2074,938
2608,4764,2842,640
2527,1776,3195,3351
437,296,624,846
2312,1658,3120,2526
1593,2653,2489,3909
2040,3066,2448,3146
1007,1233,1451,2932
1529,2186,1588,1562
1143,1382,1493,1263
872,516,1254,1451
621,1022,790,338
5592,9785,6518,6972
2072,3362,2671,2943
2928,3317,3164,6902
1268,3169,1099,1382
1831,1248,2133,2089
191,421,239,182
1913,3145,1911,2615
479,618,531,422
2786,4123,3121,4310
397,463,514,695
1674,1475,2279,765
766,906,1059,1708
5085,6985,4028,1979
583,525,826,792
3111,4207,3719,3158
2201,2597,2889,2987
5513,5504,6757,12017
1578,985,1494,1344
1257,1596,1679,1196
1877,1297,2383,3931
1383,1449,1111,1035
2608,2981,2887,5385
204,233,266,270
1762,1698,1967,1887
1441,2134,2207,4414
3226,3068,4415,6488
1070,708,1590,1773
1156,1258,1211,1113
1209,1625,1533,2055
452,462,666,275
701,903,443,347
3312,1874,4305,1404
1298,1155,1361,2280
1336,2314,1773,2934
3292,6457,4327,4391
1104,984,1711,2366
887,408,794,720
2567,8040,2962,5194
693,1058,1174,2607
938,950,1205,1258
315,486,451,381
949,1617,930,401
658,923,749,1237
1722,1092,1909,1718
907,1445,932,1524
2074,1988,2791,2637
282,355,653,497
253,241,514,374
1945,4332,1873,2656
2586,7325,3086,4302
1298,2615,1320,1199
2131,2013,2366,2910
2321,4847,2826,4679
1926,2532,2322,2621
839,911,1594,2017
547,837,523,616
2755,5857,3089,2176
585,689,1082,214
3497,3688,3722,2368
534,413,828,642
1993,2545,2615,4234
1484,2358,1924,2289
2052,1440,2530,4131
1794,2285,2878,3805
882,740,931,1820
1916,2224,1944,2557
1249,1253,1571,1148
1225,2196,1343,1807
1178,1688,1689,2239
2351,2147,2212,1372
2107,2726,2590,6641
1110,1595,1270,1122
1750,3350,2319,2421
670,657,597,156
2052,2034,3246,2945
1973,2360,2269,1955
1860,1451,2327,2497
4736,3903,5103,1613
1007,1832,920,1132
302,561,567,1215
3188,2790,4284,4561
1305,2396,1795,1308
2535,5027,2331,2706
2844,3807,3539,5595
279,275,292,463
879,1520,596,787
2371,4457,3331,2859
915,1099,718,768
1357,2038,1375,2690
1670,1168,1716,2080
1925,1818,1312,2106
1208,1843,1572,2651
990,1018,1035,671
1950,59,2350,2339
1049,1464,1089,1418
2569,5595,2706,2071
773,160,615,1049
2846,2947,3130,2540
1447,1471,2202,2206
1820,1708,1940,2396
2463,3950,3234,3126
1457,1326,1502,1068
1831,1985,2197,1326
1050,1915,1146,2032
743,1196,1181,1610
2485,3628,3465,3890
1189,1473,1434,1797
2368,3057,3375,3018
1702,1760,1621,1386
580,398,801,877
508,755,1004,540
2230,3454,2773,2855
2390,2952,3315,2936
278,210,328,624
1559,1769,1372,1124
1797,5139,2045,1255
485,524,637,639
2070,1754,2460,1631
1966,3848,2156,2744
1321,3698,1633,983
994,1549,1364,1630
4202,8678,3708,4378
865,997,1390,1006
953,1097,1529,2004
3110,4230,3203,5271
1596,3506,1458,822
386,175,302,194
2130,2137,3033,2402
1872,1907,2202,1724
1161,1268,1127,1082
686,553,932,1326
621,902,532,728
831,563,1717,905
324,336,381,318
1789,357,1862,1509
2345,2968,3134,1511
988,767,1661,2265
848,841,856,493
2850,2605,4284,3703
1459,1824,1840,2552
2552,3427,2351,5300
2953,3731,4348,5609
255,383,400,163
3754,5552,4280,5933
1165,955,1118,1673
1355,1257,1806,1982
1573,2625,2526,3112
2524,2055,3356,5560
1227,887,1902,3109
2092,2504,1852,4446
866,1132,1122,1075
1539,1696,2425,5151
2312,2698,2737,2888
2388,1401,3171,3510
2964,5553,3874,5614
3881,4323,5118,2859
958,1038,868,1380
2018,1943,1746,1385
1504,2942,1791,2121
2100,2563,2132,3040
1996,1364,2289,4583
1000,1107,1538,1299
2215,3336,2179,3238
7033,11368,8260,8706
2272,5385,2338,3776
1458,2400,2084,3408
1685,3896,2068,2122
1700,2909,2684,1638
1927,1730,2012,1355
1457,1012,2089,5789
1935,1299,2566,6007
2926,2193,3445,2276
6594,5830,7606,3457
1347,1332,1528,2119
2126,870,2342,1554
704,1041,664,593
426,622,445,471
1211,1788,1596,2099
2553,2978,2383,3093
5578,3112,5839,7153
1035,479,1325,1771
976,764,953,1136
1782,1184,1806,1553
674,509,578,548
895,1129,1218,2588
4968,5996,5860,7017
5531,7790,5866,2672
1225,1089,1413,2029
1210,1507,2681,6894
915,1248,673,1165
847,921,1100,2047
404,643,1215,725
777,2039,1066,1179
1108,1136,1205,1029
1967,3374,2585,3252
1029,814,1969,1287
2130,1710,2769,1796
1113,1387,1509,1036
516,922,531,681
221,320,130,153
2171,1778,2375,2390
2286,2047,2658,1812
716,991,1139,283
3776,4141,4087,5577
2181,3069,3459,2581
455,551,626,499
1496,1123,1680,855
1718,2045,1580,603
957,1633,1291,920
556,1022,690,685
1709,2135,2988,4133
1224,1291,1679,1870
336,446,194,95
1822,2919,2550,2642
800,835,949,1278
2326,3584,3216,2908
288,84,437,370
788,1215,997,951
1393,1189,1884,1339
4839,6558,6994,9164
1662,1523,2563,1749
1608,3066,1144,910
1629,1590,1412,1401
1339,1635,1677,2060
4373,4891,5437,9332
1207,651,1310,467
864,891,1222,1745
2204,4783,2273,2262
365,509,447,338
1222,893,1218,1246
897,2434,1146,1212
691,262,652,674
582,752,502,485
2328,2444,2744,6018
1338,1541,1922,929
407,632,496,369
171,378,230,449
426,585,286,471
2121,3615,2666,2265
3854,2045,5318,5920
361,750,691,963
1542,878,1592,1896
1764,2033,2412,2886
2225,742,2621,3299
1186,1856,1405,2663
1752,1120,2226,2441
3303,2111,5120,4575
580,694,755,592
4141,4488,4560,4918
587,849,865,548
1168,899,1005,613
1458,2800,2048,3613
1816,1825,2124,2661
1672,2020,1783,3009
853,1172,1592,1671
2663,3488,3375,2410
1768,546,2087,3586
818,886,861,650
1804,950,2188,4239
2206,2373,3018,2766
1480,3025,1670,965
4516,10306,5702,7180
2965,3869,3614,1910
1017,1709,903,1099
1012,741,827,953
3722,3350,4478,4869
1686,1807,1961,2606
1633,3844,2146,1425
1856,1284,2076,2011
1036,1366,977,1257
1070,1769,1096,1207
1254,2140,1270,1375
682,415,769,754
724,1189,1038,779
955,1021,945,1041
1222,1540,1419,1856
1043,780,1060,858
1812,2201,1969,2692
1708,1932,1653,944
978,1507,895,721
1922,3524,2218,2301
2962,5907,3397,3532
1627,2457,2070,1187
581,664,989,2087
912,981,1224,1626
2860,4358,3753,1808
3394,3095,4364,8247
1113,2251,1542,1471
448,444,582,1331
469,462,668,1332
169,539,429,249
1549,552,2040,2237
526,195,781,1018
2678,1981,3226,7162
1010,1053,648,758
1696,2178,1763,3374
3088,3464,3426,3691
2137,2927,2677,4069
1017,659,1031,1238
1896,2170,2550,2610
5019,6598,5626,1819
975,1852,1248,1197
3596,5771,4287,8921
2552,4796,2533,4327
1039,1888,1899,2666
1993,4127,2936,4892
3140,4672,4420,6295
2935,4461,3570,5427
2113,2270,2885,4799
1004,1527,1236,2525
832,1267,901,1673
1276,2398,1266,1724
2390,5125,2910,2807
2629,4424,2917,4741
724,1448,653,317
700,1438,980,447
1525,3251,2171,1134
2198,2321,2612,1225
1561,1718,2627,4648
1902,1111,3136,1892
431,795,755,985
2619,5171,3172,2774
662,1272,754,497
1398,1356,1685,1515
691,1792,1056,953
1738,3233,1879,1639
1576,1471,2107,3041
2747,1671,3424,3924
1176,1964,2069,2379
789,592,1282,1610
1172,1340,2237,1639
3645,6039,4523,8171
2019,2398,2680,1541
1730,789,2661,2440
2797,1708,2242,1828
3609,6017,4244,6584
1567,2009,1506,1077
2631,2166,3185,3363
1738,812,2676,4731
1763,3332,2348,2054
896,734,1072,1592
1079,1281,1407,1638
3438,7526,4247,4499
3663,2609,4114,4001
1357,2072,1951,2827
2760,2822,3079,1636
806,757,1224,506
1312,1892,1598,1919
872,1326,1505,721
2351,3521,2783,2681
1005,1086,1117,535
1121,1722,1658,592
1832,788,1805,1941
1420,710,1719,1502
1792,3188,2247,2543
2821,3997,3033,3262
1732,3128,2252,1639
885,477,825,1672
450,583,545,1262
1964,4077,2696,1371
1958,2538,2467,3012
321,263,517,511
1160,2504,1043,968
755,1957,881,1020
1115,1495,1111,1786
2297,2152,2981,1826
4227,5416,5441,4338
1226,1596,1496,1261
3255,1205,4002,4800
1096,533,1157,1460
395,591,680,709
1385,902,1457,3257
2906,4159,3076,3508
1443,883,2176,2364
1562,2324,2236,3281
2044,2778,3769,5257
917,772,1324,1232
1599,2848,1699,3445
2775,2701,3672,5018
2695,3024,2502,2289
1126,1868,1995,2359
689,1495,884,675
2232,3096,2625,2055
1556,1347,1363,644
1777,1194,2263,2405
1298,2216,2156,3321
1822,1253,1965,2414
1741,2897,1260,766
1745,778,1916,854
1115,601,1401,1820
2433,804,3134,4332
4011,5346,4320,1657
2854,3975,2606,3297
2399,1482,2967,1240
2838,4071,4204,3024
2539,3547,2672,1931
3403,5195,3530,5813
2843,3505,2791,7012
1167,1618,1161,1798
3460,5158,4370,4862
1044,1305,1150,1543
1301,1454,1550,2072
2383,4225,2155,1634
1450,758,2205,1076
1644,1099,2158,1518
1139,1442,1650,811
1534,968,1895,1295
4345,3671,5416,4264
1072,776,1260,994
2766,3093,2403,1649
1529,2543,1605,1947
3238,1890,3144,2309
523,635,473,662
1434,1254,1752,2163
958,1205,976,1217
807,657,935,313
993,1696,1429,1308
2225,4448,3304,2180
903,1161,883,1488
1112,985,1468,284
1990,1609,2452,2579
602,285,900,676
1149,1997,1693,3373
1578,1824,1622,1611
460,417,562,578
1393,2500,1593,3916
1536,2230,2155,1916
729,678,678,217
5941,4711,6926,6467
1892,2709,2798,2598
1395,1296,1961,1476
747,1070,950,1897
1046,1646,1694,1989
4661,5773,6313,3268
3942,1816,4612,5457
1132,1087,1045,495
1101,2995,2384,2212
2980,2437,3579,2228
871,1294,1078,2328
1089,1240,1773,1463
3755,5879,3993,2457
2046,1923,2387,4172
3612,2399,4479,5279
740,623,1377,1102
1220,1352,1248,1642
1799,2505,2289,1758
3266,3675,3984,10816
2639,2884,3134,3276
1089,1084,1238,944
2698,1422,2470,3079
125,106,227,183
1769,1674,1294,886
311,252,312,265
4458,3556,4232,2558
4164,1822,5187,12247
1885,933,2343,2045
4199,5352,5183,5769
2268,3345,2084,3907
854,659,681,951
484,188,697,528
1447,2439,1861,1866
1214,1306,1108,1294
1853,3046,1777,1961
633,472,780,638
5011,6023,6079,4445
565,946,784,397
1633,977,1898,812
1457,1973,1553,916
557,1588,677,834
2182,4396,2456,1996
737,922,916,1347
1208,2454,1114,836
2076,1355,1891,3060
1219,834,2060,1499
732,436,1033,1164
3744,3276,4114,4243
1289,1341,1476,970
576,877,779,953
842,779,719,290
2551,5624,2870,3187
2293,2724,2775,2631
1138,833,1419,1070
439,223,283,470
1743,1672,1880,773
722,815,980,283
